Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_Settle,Global_Call_OI,Global_Put_Settle,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month,Futures_Spot
GBP,1.405,234181875.06101546,3762.299820468137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.41,481654563.6059802,7719.919364205034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.415,175255147.2041668,2804.082355266669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.42,191467558.33586845,3066.1529897219725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.425,109398589.63767874,1750.37743420286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.43,52962643.73201391,858.7048729842693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.44,16906590.551217187,279.89386313132945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.45,14976711.98636468,239.6273917818349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.46,15261716.462079467,244.18746339327149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.47,16615892.95460823,265.85428727373164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.48,10182531.935229072,162.92051096366518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.49,2539309.504698208,40.62895207517133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.5,3235246.3857864277,51.763942172582844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.51,1030687.7090986157,16.49100334557785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.52,104215.12155668598,1.6674419449069755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.54,213826.75406075292,3.4212280649720466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.55,44183.16191986491,0.7069305907178386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.57,186935.18350857572,2.9909629361372114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
GBP,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.342661699941019,1.3394951628040794,1.344244968509489,1.3379118942356094,JUN26,JUN26,1.3410784313725492
