Currency,Strike,Total_GEX,Total_Abs_Gamma,Daily_Call_Settle,Daily_Call_OI,Daily_Put_Settle,Daily_Put_OI,Global_Call_Settle,Global_Call_OI,Global_Put_Settle,Global_Put_OI,R68_High,R68_Low,R95_High,R95_Low,Global_Month,Daily_Month
EUR,1.22,942718849.1730181,7541.750793384143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.225,1029371078.073426,8234.968624587407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.23,2104796553.9774094,16838.372431819276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.235,1168989283.6740406,9351.914269392326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.24,58827227.75589989,470.6178220471991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.245,39747255.67844204,317.9780454275363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.25,16778749.98647743,134.22999989181943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.255,30175784.91156088,241.406279292487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.26,367429010.8158291,2939.4320865266327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.265,3479934.0681456313,27.83947254516505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.27,30416783.002879348,243.3342640230348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.28,10500480.62457114,84.00384499656911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.29,24783231.709661912,198.26585367729533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.3,431037406.86265516,3448.2992549012415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.31,10050345.98050881,80.40276784407048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.32,231503628.29835677,1852.0290263868542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.33,22785726.0132624,182.28580810609918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.34,8624615.895204635,68.99692716163709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.35,94594109.71268237,756.7528777014589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.36,5044638.808355468,40.35711046684375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
EUR,1.37,3314528.3713763566,26.516226971010855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1778955873248156,1.1675531306239029,1.183066815675272,1.1623819022734465,JUN26,MAY26
